"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 20 14:37:22 IST 2024","Wed Mar 20 14:37:26 IST 2024","3766","Default Suite","LearnSelenium","atb4x.c2.SeleniumC2ByNeha","atb4x.c2.SeleniumC2ByNeha","positiveTc","positiveTc",""
"passed","Wed Mar 20 14:37:18 IST 2024","Wed Mar 20 14:37:22 IST 2024","4199","Default Suite","LearnSelenium","atb4x.c2.SeleniumC2ByNeha","atb4x.c2.SeleniumC2ByNeha","NegativeTC","NegativeTC",""
